order_id,order_date,category,product,region,segment,ship_mode,payment,quantity,unit_price,discount,revenue,profit,profit_margin,month,month_num,quarter,weekday
ORD100000,2023-03-15,Electronics,Tablet,North,Corporate,Economy,Net Banking,3,37915.88,0.2,90998.11,19980.68,21.96,March,3,Q1,Wednesday
ORD100001,2023-06-14,Books,Comics,North,Home Office,Economy,Net Banking,4,278.49,0.15,946.87,342.32,36.15,June,6,Q2,Wednesday
ORD100002,2023-11-21,Home & Kitchen,Water Purifier,North,Home Office,Economy,Credit Card,3,6929.51,0.0,20788.53,8551.44,41.14,November,11,Q4,Tuesday
ORD100003,2023-12-21,Books,Fiction Novel,West,Home Office,Economy,UPI,4,595.69,0.0,2382.76,778.49,32.67,December,12,Q4,Thursday
ORD100004,2023-12-03,Clothing,Kurta,West,Corporate,Economy,Debit Card,3,504.92,0.0,1514.76,574.45,37.92,December,12,Q4,Sunday
ORD100005,2023-03-11,Clothing,Saree,West,Corporate,Express,Credit Card,2,2506.38,0.15,4260.85,1842.29,43.24,March,3,Q1,Saturday
ORD100006,2023-02-05,Home & Kitchen,Lamp,South,Home Office,Economy,Debit Card,1,6838.7,0.15,5812.89,1538.25,26.46,February,2,Q1,Sunday
ORD100007,2023-09-07,Sports,Dumbbells,Central,Consumer,Economy,UPI,2,6122.4,0.0,12244.8,6306.83,51.51,September,9,Q3,Thursday
ORD100008,2023-07-22,Books,Comics,East,Corporate,Same Day,UPI,3,1030.46,0.1,2782.24,787.74,28.31,July,7,Q3,Saturday
ORD100009,2023-06-21,Electronics,Smartphone,North,Home Office,Same Day,Net Banking,1,55130.22,0.1,49617.2,17018.2,34.3,June,6,Q2,Wednesday
ORD100010,2023-05-07,Home & Kitchen,Bedsheet,East,Home Office,Standard,Credit Card,4,8608.5,0.0,34434.0,18673.4,54.23,May,5,Q2,Sunday
ORD100011,2023-01-22,Home & Kitchen,Water Purifier,Central,Consumer,Express,Net Banking,5,3892.12,0.15,16541.51,6415.27,38.78,January,1,Q1,Sunday
ORD100012,2023-06-02,Electronics,Headphones,Central,Consumer,Standard,Credit Card,5,63792.37,0.1,287065.67,111127.36,38.71,June,6,Q2,Friday
ORD100013,2023-06-18,Electronics,Laptop,Central,Corporate,Economy,UPI,1,59176.95,0.1,53259.25,24243.73,45.52,June,6,Q2,Sunday
ORD100014,2023-09-07,Home & Kitchen,Lamp,West,Corporate,Express,COD,1,6969.27,0.0,6969.27,3307.77,47.46,September,9,Q3,Thursday
ORD100015,2023-11-28,Electronics,Smartphone,East,Consumer,Economy,COD,1,77142.32,0.0,77142.32,28934.02,37.51,November,11,Q4,Tuesday
ORD100016,2023-01-29,Clothing,Jacket,North,Corporate,Economy,UPI,4,3669.1,0.05,13942.58,6339.32,45.47,January,1,Q1,Sunday
ORD100017,2023-07-31,Home & Kitchen,Lamp,East,Home Office,Standard,Net Banking,2,4936.37,0.15,8391.83,3512.79,41.86,July,7,Q3,Monday
ORD100018,2023-02-04,Home & Kitchen,Lamp,West,Corporate,Standard,Net Banking,2,6765.35,0.1,12177.63,4113.0,33.78,February,2,Q1,Saturday
ORD100019,2023-05-01,Home & Kitchen,Lamp,West,Consumer,Standard,Debit Card,1,7662.87,0.0,7662.87,3937.71,51.39,May,5,Q2,Monday
ORD100020,2023-08-12,Books,Fiction Novel,East,Consumer,Standard,UPI,5,1395.09,0.1,6277.9,2534.05,40.36,August,8,Q3,Saturday
ORD100021,2023-01-31,Sports,Running Shoes,West,Corporate,Express,COD,3,15763.34,0.0,47290.02,20255.99,42.83,January,1,Q1,Tuesday
ORD100022,2023-07-18,Electronics,Headphones,East,Home Office,Express,Credit Card,5,40511.71,0.0,202558.55,94616.67,46.71,July,7,Q3,Tuesday
ORD100023,2023-02-21,Electronics,Smartphone,South,Consumer,Same Day,Net Banking,5,72212.06,0.05,343007.28,130520.03,38.05,February,2,Q1,Tuesday
ORD100024,2023-04-28,Electronics,Smartphone,North,Corporate,Economy,COD,4,54456.7,0.15,185152.78,45272.71,24.45,April,4,Q2,Friday
ORD100025,2023-05-16,Clothing,Jeans,East,Home Office,Economy,Credit Card,1,2907.36,0.05,2761.99,850.55,30.79,May,5,Q2,Tuesday
ORD100026,2023-12-28,Clothing,Saree,Central,Consumer,Standard,Debit Card,4,1666.6,0.05,6333.08,2906.61,45.9,December,12,Q4,Thursday
ORD100027,2023-11-22,Electronics,Smartphone,Central,Home Office,Standard,COD,3,79428.17,0.0,238284.51,86461.06,36.28,November,11,Q4,Wednesday
ORD100028,2023-05-30,Electronics,Headphones,South,Home Office,Standard,Net Banking,1,28694.68,0.15,24390.48,6731.33,27.6,May,5,Q2,Tuesday
ORD100029,2023-03-29,Books,Textbook,North,Home Office,Economy,UPI,2,1411.48,0.2,2258.37,901.4,39.91,March,3,Q1,Wednesday
ORD100030,2023-04-13,Books,Fiction Novel,South,Home Office,Economy,Credit Card,4,938.74,0.2,3003.97,1129.84,37.61,April,4,Q2,Thursday
ORD100031,2023-01-06,Sports,Running Shoes,South,Consumer,Standard,Net Banking,3,3306.0,0.2,7934.4,2901.87,36.57,January,1,Q1,Friday
ORD100032,2023-06-02,Sports,Cricket Bat,North,Home Office,Economy,UPI,5,10373.43,0.1,46680.44,15805.01,33.86,June,6,Q2,Friday
ORD100033,2023-02-15,Books,Fiction Novel,North,Corporate,Economy,Credit Card,4,282.61,0.05,1073.92,303.08,28.22,February,2,Q1,Wednesday
ORD100034,2023-12-17,Electronics,Headphones,Central,Corporate,Standard,Debit Card,2,54714.82,0.2,87543.71,30463.95,34.8,December,12,Q4,Sunday
ORD100035,2023-02-21,Home & Kitchen,Mixer,North,Home Office,Standard,Debit Card,4,2035.51,0.15,6920.73,2403.7,34.73,February,2,Q1,Tuesday
ORD100036,2023-11-06,Electronics,Smartwatch,North,Corporate,Standard,Credit Card,3,65327.07,0.05,186182.15,59540.88,31.98,November,11,Q4,Monday
ORD100037,2023-07-13,Sports,Yoga Mat,Central,Home Office,Economy,Net Banking,4,5036.49,0.0,20145.96,8028.09,39.85,July,7,Q3,Thursday
ORD100038,2023-12-18,Clothing,Kurta,Central,Consumer,Express,Debit Card,5,2058.04,0.0,10290.2,3982.48,38.7,December,12,Q4,Monday
ORD100039,2023-10-26,Clothing,Jeans,Central,Consumer,Express,Debit Card,2,3806.01,0.15,6470.22,2844.47,43.96,October,10,Q4,Thursday
ORD100040,2023-12-01,Clothing,T-Shirt,Central,Corporate,Standard,UPI,2,4175.75,0.0,8351.5,4292.94,51.4,December,12,Q4,Friday
ORD100041,2023-01-08,Clothing,Kurta,North,Consumer,Economy,UPI,1,841.92,0.05,799.82,409.3,51.17,January,1,Q1,Sunday
ORD100042,2023-12-26,Home & Kitchen,Bedsheet,East,Home Office,Economy,Net Banking,5,10370.36,0.0,51851.8,24396.39,47.05,December,12,Q4,Tuesday
ORD100043,2023-03-28,Sports,Running Shoes,West,Corporate,Economy,Debit Card,1,4039.22,0.2,3231.38,1161.9,35.96,March,3,Q1,Tuesday
ORD100044,2023-02-04,Clothing,T-Shirt,Central,Consumer,Standard,Debit Card,5,2055.36,0.05,9762.96,4877.18,49.96,February,2,Q1,Saturday
